impl,work,threads,nkeys,mean_ops_per_sec
coarse,insert,1,10000,21317133.33
striped,insert,1,10000,22540766.67
coarse,insert,2,10000,5437633.333
striped,insert,2,10000,16716166.67
coarse,insert,4,10000,2985106.667
striped,insert,4,10000,14438866.67
coarse,insert,8,10000,2601343.333
striped,insert,8,10000,17631366.67
coarse,insert,16,10000,1752690
striped,insert,16,10000,15192166.67
coarse,insert,1,100000,6426160
striped,insert,1,100000,5559176.667
coarse,insert,2,100000,3298013.333
striped,insert,2,100000,9572113.333
coarse,insert,4,100000,2110073.333
striped,insert,4,100000,10132926.67
coarse,insert,8,100000,1466450
striped,insert,8,100000,7071406.667
coarse,insert,16,100000,1231526.667
striped,insert,16,100000,5205483.333
coarse,insert,1,1000000,3828823.333
striped,insert,1,1000000,3875936.667
coarse,insert,2,1000000,2070963.333
striped,insert,2,1000000,5130833.333
coarse,insert,4,1000000,1300043.333
striped,insert,4,1000000,5406293.333
coarse,insert,8,1000000,1146393.333
striped,insert,8,1000000,4575746.667
coarse,insert,16,1000000,905478
striped,insert,16,1000000,4142400
coarse,lookup,1,10000,28254066.67
striped,lookup,1,10000,25916700
coarse,lookup,2,10000,10335823.33
striped,lookup,2,10000,20648533.33
coarse,lookup,4,10000,6382756.667
striped,lookup,4,10000,24158433.33
coarse,lookup,8,10000,5262603.333
striped,lookup,8,10000,23065200
coarse,lookup,16,10000,3430643.333
striped,lookup,16,10000,24728766.67
coarse,lookup,1,100000,8129960
striped,lookup,1,100000,7565473.333
coarse,lookup,2,100000,4714833.333
striped,lookup,2,100000,13858333.33
coarse,lookup,4,100000,3788530
striped,lookup,4,100000,20485033.33
coarse,lookup,8,100000,2660053.333
striped,lookup,8,100000,20736333.33
coarse,lookup,16,100000,2070246.667
striped,lookup,16,100000,23565000
coarse,lookup,1,1000000,4748603.333
striped,lookup,1,1000000,5431976.667
coarse,lookup,2,1000000,3402426.667
striped,lookup,2,1000000,9248943.333
coarse,lookup,4,1000000,2212416.667
striped,lookup,4,1000000,13351033.33
coarse,lookup,8,1000000,1850740
striped,lookup,8,1000000,17149100
coarse,lookup,16,1000000,1555563.333
striped,lookup,16,1000000,20644566.67
coarse,mixed,1,10000,25019166.67
striped,mixed,1,10000,23725800
coarse,mixed,2,10000,6898603.333
striped,mixed,2,10000,18219533.33
coarse,mixed,4,10000,4086843.333
striped,mixed,4,10000,20358000
coarse,mixed,8,10000,3462836.667
striped,mixed,8,10000,18742766.67
coarse,mixed,16,10000,1892890
striped,mixed,16,10000,16688966.67
coarse,mixed,1,100000,5841353.333
striped,mixed,1,100000,6297440
coarse,mixed,2,100000,2897133.333
striped,mixed,2,100000,9586820
coarse,mixed,4,100000,2315306.667
striped,mixed,4,100000,10952666.67
coarse,mixed,8,100000,1897673.333
striped,mixed,8,100000,10965366.67
coarse,mixed,16,100000,1537690
striped,mixed,16,100000,11565466.67
coarse,mixed,1,1000000,4190380
striped,mixed,1,1000000,3955780
coarse,mixed,2,1000000,2503653.333
striped,mixed,2,1000000,6440650
coarse,mixed,4,1000000,1617580
striped,mixed,4,1000000,8581676.667
coarse,mixed,8,1000000,1489680
striped,mixed,8,1000000,9727560
coarse,mixed,16,1000000,1178243.333
striped,mixed,16,1000000,10385506.67
